id,time,type,head,pos,nextLine,crackType
1,2.67,0,0,90,-1,0
2,2.67,0,0,450,-1,0
3,3.33,0,0,90,-1,0
4,3.67,0,0,450,-1,0
5,4.03,0,0,90,-1,0
6,4.03,0,0,450,-1,0
7,4.67,0,0,180,-1,0
8,4.67,0,0,360,-1,0
9,5.33,0,1,90,11,0
10,5.33,0,1,450,12,0
11,5.67,1,0,90,13,1
12,5.67,1,0,450,14,1
13,6,1,0,90,15,1
14,6,1,0,450,16,1
15,6.33,1,0,90,-1,1
16,6.33,1,0,450,-1,1
17,6.7,0,0,90,-1,0
18,6.7,0,0,450,-1,0
19,7.4,0,0,180,-1,0
20,7.4,0,0,360,-1,0
21,8,0,0,180,-1,0
22,8.67,0,0,360,-1,0
23,9.35,0,1,90,25,0
24,9.35,0,1,450,26,0
25,9.71,1,0,90,27,1
26,9.71,1,0,450,28,1
27,10.03,1,0,90,29,1
28,10.03,1,0,450,30,1
29,10.36,1,0,90,-1,1
30,10.36,1,0,450,-1,1
31,10.7,0,0,90,-1,0
32,10.7,0,0,450,-1,0
33,11.03,0,0,180,-1,0
34,11.33,0,0,360,-1,0
35,11.67,0,0,360,-1,0
36,12.04,0,0,180,-1,0
37,12.33,0,0,90,-1,0
38,12.67,0,0,90,-1,0
39,13,0,0,90,-1,0
40,13.34,0,0,180,-1,0
41,13.67,0,0,360,-1,0
42,14,0,0,180,-1,0
43,14.33,0,0,360,-1,0
44,14.67,0,0,180,-1,0
45,14.67,0,0,360,-1,0
46,15,0,0,90,-1,0
47,15.16,0,0,450,-1,0
48,15.33,0,0,450,-1,0
49,15.5,0,0,180,-1,0
50,16.16,0,0,180,-1,0
51,16.5,0,0,360,-1,0
52,16.8,0,0,360,-1,0
53,17.15,0,0,450,-1,0
54,17.33,0,0,360,-1,0
55,17.5,0,0,180,-1,0
56,17.82,0,0,90,-1,0
57,18,0,0,180,-1,0
58,18,0,0,450,-1,0
59,18.5,0,1,90,60,0
60,18.83,1,0,170,61,1
61,19.16,1,0,250,-1,1
62,19.5,0,1,330,63,0
63,19.83,1,0,410,64,1
64,20.16,1,0,490,-1,1
